ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,,,,,,,,1088.03192881436,1126.42035791202,1090.23547033207,1167.35968469481,1193.85279914084,1321.47759508689,1335.59144856962,1576.02987047289,1662.80352555541,1712.58871978343,1899.2995585028,1875.73121036509,1856.0528024606
ALB,Albania,3940.76213977298,4326.17578786006,3909.27936815298,4433.57222839264,4912.37735764898,5304.68315061351,5729.52938924498,5913.39206450614,6273.8852432271,6671.8701256013,7074.93341805617,7475.69735458549,7976.82642900586,8644.05966322991,8994.41113676167,9374.24972284359,9640.13021649275,9811.15010608907,9960.94072581355,10160.3366122493
DZA,Algeria,9298.7853783802,9512.99401203465,9464.50306717907,9799.91651316014,9972.27347166234,10055.3416997497,10383.7338102486,10828.0934643512,11462.776353815,11801.8129977175,12328.81472109,12359.5416902248,12588.5495065384,12637.7852649523,12625.733161906,12850.0198264678,12964.8272133613,13134.2892377998,13238.0244945639,13515.9587737147
AND,Andorra,,,,,,,,,,,,,,,,,,,,
AGO,Angola,2653.47408448745,2866.67042219145,3008.63556967586,3125.9769359965,3135.6919199063,3132.18692577707,3158.64611224903,3473.17392649791,3528.03852033563,3775.23467598514,4310.75600539522,5028.16944647697,5957.757226793,6555.96481443854,6492.35938694277,6492.1768152807,6524.48118084089,6636.03879875443,6856.80412027606,6895.14007091459
ATG,Antigua and Barbuda,17167.1753221646,17829.5755058978,18186.270532929,18482.7541043438,18780.1363155741,19318.7184940307,18388.0908848909,18675.604950807,19566.3293762526,20395.4825388482,21414.2296934271,24016.3111357078,26007.8246843426,25735.7147540152,22388.9568647272,20567.3593439683,19987.9241389288,20577.292106724,20353.2908243918,20797.4966917647
ARG,Argentina,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,2169.43102785618,2332.68056367768,2437.62935646148,2636.32474553976,2740.16961493054,2918.55768574024,3214.25718572495,3653.36514796389,4181.18532729791,4634.79778023027,5296.81412795942,6021.36400655323,6881.44465235369,7388.62663569693,6362.21471000965,6507.9144023801,6803.48299708481,7267.97652826463,7487.52933391077,7706.14733497202
AUS,Australia,30358.8810096657,31145.3394332266,32013.3955356907,33085.2365711337,34346.2487107106,35253.3095441588,35451.9721854419,36374.8173372532,37035.0458836046,38129.8078216396,38840.2336752109,39416.0294500824,40643.443475353,41311.9313901058,41170.0409835496,41330.0374557306,41705.9450796006,42521.7149861766,42840.3735522929,43218.7512448014
AUT,Austria,33480.0056082289,34236.7081282039,34952.0087252894,36156.580892842,37381.8068869429,38548.1647187388,38919.4932228117,39369.7794272635,39474.7096925054,40292.033986473,40875.1530997874,42036.2980364484,43417.6678838039,43951.6643779644,42171.2829972012,42860.9934062805,44028.7740444403,44215.8637213227,44058.5843419502,43905.6881854271
AZE,Azerbaijan,3319.76734895473,3329.13480415802,3488.41002547603,3801.00252072188,4046.6074672842,4458.99842303434,4862.6190309313,5338.07631838764,5891.13710833521,6435.44812947118,8051.67483806248,10711.1822716451,13243.2128559113,14364.9942336723,15393.8932908055,15950.2574578783,15754.1523626148,15888.2179950886,16593.1887600482,16710.2966409617
BHS,Bahamas,22110.5758070407,22748.7669863481,22960.9384066027,23788.0725895465,25182.0954087612,25846.7085719335,26066.2209036921,26248.9011116585,25376.2672423573,25062.0147667968,25385.3077788555,25515.9833654792,25396.6586354926,24356.1374961387,22931.7990674614,22894.2570638768,22665.167557113,22814.5367128874,22490.2309490758,22411.0568419097
BHR,Bahrain,43243.7108846097,43769.0547948048,43765.8271323733,44361.8022590576,44619.7286796666,45156.1435667904,44413.6220894084,44085.5836497923,44517.7382913738,44890.8848378484,44666.5525161354,43825.7093135632,43495.1054040972,42516.7178082089,40645.9556890266,40237.6028216291,39676.7170222452,40251.1106034086,41901.5158732098,43387.9243666805
BGD,Bangladesh,1441.0278680196,1474.34221661325,1508.28798964447,1553.73867434107,1593.75239662274,1645.71724192636,1697.01887390319,1730.34687282254,1781.34486885788,1844.8157755308,1936.70523682062,2038.68687477429,2156.48359922209,2260.57478067684,2348.43305939948,2451.30528454951,2579.33504808833,2714.7743864578,2843.23504426841,2980.71585654274
BRB,Barbados,12502.0114109631,12684.4806133209,13444.8603193045,13945.2602538241,14255.154753152,14533.4112659842,14118.4135881697,14171.8593788559,14409.9713553434,14572.0788334544,15103.4994594276,15905.7697369962,16106.3109437322,16093.917786256,15363.9144652369,15342.2522682959,15401.5496498863,15349.4816059082,12964.2764995989,12950.9684583731
BLR,Belarus,5275.43147803741,5441.29187448352,6087.3625922165,6630.15776367788,6878.81081337684,7299.6042748572,7703.82270401638,8144.18159635826,8778.30132288616,9850.7619262929,10851.4558021169,12009.931190904,13102.8148289897,14487.7966584078,14548.8383311762,15703.1116906868,16603.3895298874,16906.9218948791,17084.8242568624,17348.7663921089
BEL,Belgium,32773.5924229174,33216.9983762413,34377.1470591779,34992.0540621293,36209.2864321252,37404.0488582938,37620.1187993137,38035.9348960806,38214.0560243998,39355.9307557769,39881.3006445469,40661.1667424154,41574.7207261996,41640.8667565021,40225.4725026307,40764.1827074777,40945.9163746668,40687.44079712,40606.7589094739,40884.8690356568
BLZ,Belize,6208.58017188589,6099.47116150769,6089.59360821899,6079.26114230664,6371.37285551283,6960.76119000875,7089.809346109,7247.68655643041,7719.80673491488,7875.17566568415,7873.04883866513,8022.16134472312,7902.86522793263,7951.2309025312,7809.99252610599,7876.78509409473,7857.22419793338,7975.69395693346,7921.26384674641,
BEN,Benin,1398.09582164185,1413.52860435664,1451.12823939491,1465.93100565355,1499.78841547835,1525.43287791048,1569.7995896415,1586.18154200033,1593.82537937358,1590.21303659132,1583.88528474973,1592.45023118692,1615.62471756967,1646.3704751913,1641.29790269967,1636.55357948108,1643.37800566935,1685.45003105794,1733.51795602865,1778.98201639502
BTN,Bhutan,2930.99170049411,3073.09167416263,3185.14650031427,3293.91305682853,3460.37835760657,3596.6610575242,3780.5096604669,4062.70230592086,4245.98953819431,4370.43544522346,4560.01362727693,4757.22906591398,5490.21496254414,5640.1193515893,5906.47213863284,6485.5884969803,6882.68840700056,7120.27407741625,7160.65249683617,7505.48792765443
BOL,"Bolivia, Plurinational State of",4104.86156890634,4200.22015611461,4322.38322550047,4451.87633532615,4385.39773084227,4410.85182705834,4402.31429219824,4429.89727044264,4468.88682218539,4573.71778081568,4693.4248941654,4834.88799098678,4970.89423519628,5189.44737415266,5276.33140274297,5405.74811540863,5595.18088896488,5792.54909383357,6089.17895774024,6319.52624099525
BIH,Bosnia and Herzegovina,1793.16853029352,3449.35249183981,4673.95505108249,5408.03720540064,5913.90994035303,6225.21085246966,6487.37130231771,6815.77579481821,7071.75777565711,7486.34944252518,7845.27726568159,8320.55605356576,8885.08527758399,9368.28886262923,9100.45205233028,9170.06672616229,9265.01588751072,9162.30232142648,9401.52607199003,9533.57925959855
BWA,Botswana,8863.1019413529,9173.00625536996,9704.4610728076,9586.59202835719,10327.1484191713,10361.319882876,10234.3373844002,10708.8370618062,11057.1364924328,11199.7377145848,11532.5786189533,12242.526537685,13065.8816609474,13617.8084199172,12329.2366812592,13119.5272517599,13634.2684626754,14004.0531625714,15002.2704057842,15359.0770684457
BRA,Brazil,11048.6362390387,11116.5664372404,11315.8809973083,11181.3722315386,11065.115669734,11377.0756863004,11352.5511209439,11531.5349524334,11508.4761007652,11997.3127001596,12219.9552328113,12560.7903577657,13171.0721565736,13691.1865731149,13524.7485148414,14408.7274223108,14830.8995611937,14951.8100127832,15222.320489499,15109.825547141
BRN,Brunei Darussalam,78403.8832431684,78676.677775096,75693.010280677,73577.3051260161,74198.1810578298,74755.9277004483,75321.5831221494,76800.6338103537,77635.0180881826,76679.0139308897,75659.7097452022,77643.707197829,76453.5428177852,73724.8790905893,71246.3485722519,71941.613253348,73265.1216346752,72853.0308567071,70535.2878852646,73224.6655492459
BGR,Bulgaria,8479.23578193412,8659.44795095034,8617.46082324546,8975.562471633,8516.39572953392,9075.35698478673,9596.16955076098,10219.5426853583,10828.8291066188,11602.0410838866,12358.5095755398,13228.0213184377,14429.7674080619,15367.6486206119,14691.7838423025,14885.7300848869,15278.4219487047,15442.8101925899,15695.001021984,16048.4362378285
BFA,Burkina Faso,868.785984055285,938.172967637493,970.03783218437,1012.14231460686,1056.83764819769,1045.95331360881,1083.77481715282,1099.00001867488,1150.97960528075,1167.77914672398,1231.69157186371,1269.71094446083,1301.09030389608,1353.76353413566,1351.87453313048,1422.33460001435,1470.43518369954,1519.65651630074,1574.160966863,1590.91814078555
